node_id	entity_name	attribute_text	triplets_text
52	The Germs	The Germs.	 [The Germs]'s release is Germicide. [The Germs]'s song is Forming. [The Germs]'s term is rock.
53	Yamandu Costa	Yamandu Costa.	 [Yamandu Costa]'s release is Mafu\xc3\xa1. [Yamandu Costa]'s song is Mafu\xc3\xa1. [Yamandu Costa]'s term is brazilian jazz.
54	Chris Rea	Chris Rea.	 [Chris Rea]'s song is Josephine. [Chris Rea]'s release is The Road To Hell And Back. [Chris Rea]'s term is soft rock.
55	Perrey And Kingsley	Perrey And Kingsley.	 [Perrey And Kingsley]'s song is The Unidentified Flying Object. [Perrey And Kingsley]'s term is easy listening. [Perrey And Kingsley]'s release is The Out Sound From Way In!.
56	Eurythmics	Eurythmics.	 [Eurythmics]'s term is dance rock. [Eurythmics]'s release is Revenge. [Eurythmics]'s song is A Little Of You.
57	Francis Dunnery	Francis Dunnery.	 [Francis Dunnery]'s release is Welcome To The Wild Country. [Francis Dunnery]'s song is The Possibilities of Loving You, Too Much Saturn.
58	John Cale	John Cale.	 [John Cale]'s song is Song Of The Valley. [John Cale]'s term is experimental rock. [John Cale]'s release is Eat / Kiss: Music For The Films By Andy Warhol.
59	Suzanne Ciani	Suzanne Ciani.	 [Suzanne Ciani]'s song is Stream. [Suzanne Ciani]'s release is The Ultimate Most Relaxing New Age Piano in the Universe. [Suzanne Ciani]'s term is meditation.
60	Vickie Winans	Vickie Winans.	 [Vickie Winans]'s release is Share the Laughter. [Vickie Winans]'s song is Make Me Over. [Vickie Winans]'s term is ccm.
61	The Berzerker	The Berzerker.	 [The Berzerker]'s release is The Berzerker. [The Berzerker]'s song is Humanity. [The Berzerker]'s term is speedcore.
62	Kings Of Leon	Kings Of Leon.	 [Kings Of Leon]'s song is Day Old Blues, Woo Hoo. [Kings Of Leon]'s release is Fans.
63	Edith Lefel	Edith Lefel.	 [Edith Lefel]'s song is An ti chans'. [Edith Lefel]'s release is Jeux de dames  vol. 1 (r\xc3\xa9alisation Ronald Rubinel). [Edith Lefel]'s term is zouk.
64	Taras	Taras.	 [Taras]'s release is I Will Love Again. [Taras]'s term is trance. [Taras]'s song is I Will Love Again (JJ's Club Radio).
65	NOFX	NOFX.	 [NOFX]'s song is My Heart Is Yearning. [NOFX]'s release is White Trash ......, Punk In Drublic.
66	Murskahumppa	Murskahumppa.	 [Murskahumppa]'s term is suomi rock. [Murskahumppa]'s song is Mua rakastan. [Murskahumppa]'s release is Poikamies (2009).
67	Soda Stereo	Soda Stereo.	 [Soda Stereo]'s song is Terapia De Amor Intensiva. [Soda Stereo]'s term is rock. [Soda Stereo]'s release is Canci\xc3\xb3n Animal.
68	Bruce Rowland	Bruce Rowland.	 [Bruce Rowland]'s song is Mountain Theme. [Bruce Rowland]'s release is The Man from Snowy River. [Bruce Rowland]'s term is easy listening.
69	Xcultures	Xcultures.	 [Xcultures]'s song is Smile. [Xcultures]'s release is One World One People. [Xcultures]'s term is gabba.
70	White Heart	White Heart.	 [White Heart]'s song is Hold On. [White Heart]'s release is Whiteheart. [White Heart]'s term is ccm.
71	Heavy D / McGruff	Heavy D / McGruff.	 [Heavy D / McGruff]'s term is pop rap. [Heavy D / McGruff]'s song is Wanna Be A Player. [Heavy D / McGruff]'s release is Waterbed Hev.
72	Van Halen	Van Halen.	 [Van Halen]'s song is From Afar (Album Version). [Van Halen]'s release is Van Halen III. [Van Halen]'s term is heavy metal.
73	Black Eyed Peas	Black Eyed Peas.	 [Black Eyed Peas]'s song is Let's Get It Started, Tell Your Momma Come. [Black Eyed Peas]'s release is Bridging The Gap.
74	Nine Inch Nails	Nine Inch Nails.	 [Nine Inch Nails]'s song is The Frail, Metal. [Nine Inch Nails]'s release is Things Falling Apart.
75	Nick Cave & The Bad Seeds	Nick Cave & The Bad Seeds.	 [Nick Cave & The Bad Seeds]'s song is Wings Off Flies (2009 Digital Remaster). [Nick Cave & The Bad Seeds]'s release is From Her To Eternity (2009 Digital Remaster). [Nick Cave & The Bad Seeds]'s term is rock.
76	Nadine Renee	Nadine Renee.	 [Nadine Renee]'s term is freestyle. [Nadine Renee]'s song is Next Time. [Nadine Renee]'s release is Oasis of Love.
77	Lesley Gore	Lesley Gore.	 [Lesley Gore]'s term is brill building pop. [Lesley Gore]'s release is 60's Triple set. [Lesley Gore]'s song is It's My Party.
78	Smartbomb	Smartbomb.	 [Smartbomb]'s term is melodic hardcore. [Smartbomb]'s song is Complicate It. [Smartbomb]'s release is Yeah.  Well  Anyway.....
79	Suburbs	Suburbs.	 [Suburbs]'s term is british pop. [Suburbs]'s release is Un Titre de Toune. [Suburbs]'s song is Monde De Fou.
80	Emperor	Emperor.	 [Emperor]'s term is heavy metal. [Emperor]'s song is Al Svartr (The Oath). [Emperor]'s release is Anthems To The Welkin At Dusk.
81	Julien Clerc	Julien Clerc.	 [Julien Clerc]'s song is L'horizon Chim\xc3\xa9rique. [Julien Clerc]'s release is Olympia 94. [Julien Clerc]'s term is chanson.
82	Glen Campbell	Glen Campbell.	 [Glen Campbell]'s term is country rock. [Glen Campbell]'s release is Unconditional Love. [Glen Campbell]'s song is After The Glitter Fades (LP Version).
83	T.G. Sheppard	T.G. Sheppard.	 [T.G. Sheppard]'s term is country rock. [T.G. Sheppard]'s song is You're My First Lady. [T.G. Sheppard]'s release is The Very Best Of.
84	Slim Whitman	Slim Whitman.	 [Slim Whitman]'s song is Serenade. [Slim Whitman]'s release is Rose Marie, Country Lovers. Vol. 3.
85	Savage Garden	Savage Garden.	 [Savage Garden]'s term is easy listening. [Savage Garden]'s release is Affirmation. [Savage Garden]'s song is You Can Still Be Free.
86	Queens Of The Stone Age	Queens Of The Stone Age.	 [Queens Of The Stone Age]'s term is stoner metal. [Queens Of The Stone Age]'s release is Lullabies To Paralyze. [Queens Of The Stone Age]'s song is This Lullaby.
87	Hank Penny & The Lincoln Penny Orchestra	Hank Penny & The Lincoln Penny Orchestra.	 [Hank Penny & The Lincoln Penny Orchestra]'s song is Dixie. [Hank Penny & The Lincoln Penny Orchestra]'s term is western swing. [Hank Penny & The Lincoln Penny Orchestra]'s release is It's War Again.
88	Inspiral Carpets	Inspiral Carpets.	 [Inspiral Carpets]'s release is Keep The Circle (B-Sides and Udder stuff). [Inspiral Carpets]'s song is Keep The Circle Around, Commercial Reign.
89	Borialis	Borialis.	 [Borialis]'s release is What You Thought You Heard. [Borialis]'s song is Hourglass. [Borialis]'s term is rap rock.
90	The Dirty Skirts	The Dirty Skirts.	 [The Dirty Skirts]'s song is Wake. [The Dirty Skirts]'s release is Daddy Don't Disco. [The Dirty Skirts]'s term is indie rock.
91	Flor Silvestre	Flor Silvestre.	 [Flor Silvestre]'s term is ranchera. [Flor Silvestre]'s release is 15 Grandes Exitos-Flor Silvestre. [Flor Silvestre]'s song is Aquel Amor.
92	BA(c)zu	BA(c)zu.	 [BA(c)zu]'s release is B\xc3\xa9zu au bal musette. [BA(c)zu]'s song is Le clair de lune \xc3\xa0 maubeuge. [BA(c)zu]'s term is chanson.
93	Redman	Redman.	 [Redman]'s release is Red Gone Wild. [Redman]'s song is Jam 4 U. [Redman]'s term is hip hop.
94	Solistiyhtye Suomi	Solistiyhtye Suomi.	 [Solistiyhtye Suomi]'s release is 20 Suosikkia / Rilluttele y\xc3\xb6. [Solistiyhtye Suomi]'s song is Ter\xc3\xa4slintu. [Solistiyhtye Suomi]'s term is german pop.
95	Eddie Cantor	Eddie Cantor.	 [Eddie Cantor]'s song is When My Ship Comes In. [Eddie Cantor]'s release is The Fabulous Eddie Cantor. [Eddie Cantor]'s term is easy listening.
96	Schizoid	Schizoid.	 [Schizoid]'s song is Grim Prospects (Version 2 Remix), Strangerhood. [Schizoid]'s release is All Things Are Connected.
97	Kai Winding	Kai Winding.	 [Kai Winding]'s term is hard bop. [Kai Winding]'s song is Captin Kut-Cha. [Kai Winding]'s release is The Incredible Kai Winding Trombones.
98	Sonny Simmons	Sonny Simmons.	 [Sonny Simmons]'s song is Metamorphosis. [Sonny Simmons]'s term is free jazz. [Sonny Simmons]'s release is Staying on the Watch.
99	Mira	Mira.	 [Mira]'s term is shoegaze. [Mira]'s song is Openbare Weg. [Mira]'s release is Openbare Weg.
100	Citizen Kaned	Citizen Kaned.	 [Citizen Kaned]'s release is Tip World Singles 2000. [Citizen Kaned]'s term is chill-out. [Citizen Kaned]'s song is President Johnson.
101	The Brooklyn Tabernacle Choir	The Brooklyn Tabernacle Choir.	 [The Brooklyn Tabernacle Choir]'s song is Everything I Desire, Lead Me Lord. [The Brooklyn Tabernacle Choir]'s term is gospel.
102	Ellen McIlwaine	Ellen McIlwaine.	 [Ellen McIlwaine]'s song is Spontanous Combustion. [Ellen McIlwaine]'s term is blues-rock. [Ellen McIlwaine]'s release is Spontanous Combustion.
103	Vince Guaraldi / Bola Sete	Vince Guaraldi / Bola Sete.	 [Vince Guaraldi / Bola Sete]'s term is latin jazz. [Vince Guaraldi / Bola Sete]'s song is Choro. [Vince Guaraldi / Bola Sete]'s release is From All Sides.
104	Maurice Chevalier	Maurice Chevalier.	 [Maurice Chevalier]'s term is chanson. [Maurice Chevalier]'s song is La Romance De La Pluie. [Maurice Chevalier]'s release is Le plus grandes chansons.
105	Carl Cox Vs Yousef	Carl Cox Vs Yousef.	 [Carl Cox Vs Yousef]'s release is Dave Pearce Best of the Dance Years 1988 - 1992. [Carl Cox Vs Yousef]'s song is I Want You (Forever). [Carl Cox Vs Yousef]'s term is tech house.
106	Organized Konfusion	Organized Konfusion.	 [Organized Konfusion]'s release is The Equinox. [Organized Konfusion]'s term is hip hop. [Organized Konfusion]'s song is Hate.
107	Martina McBride	Martina McBride.	 [Martina McBride]'s release is Martina, The Way That I Am. [Martina McBride]'s song is Heart Trouble.
108	Horace Andy	Horace Andy.	 [Horace Andy]'s release is Feel Good All Over: Anthology 1970-1976, Exclusively. [Horace Andy]'s song is Rastafari Prophecy.
109	Nazz	Nazz.	 [Nazz]'s release is 13th And Pine. [Nazz]'s song is How Can You Call That Beautiful (Stewkey Vocal). [Nazz]'s term is freakbeat.
110	Tyrone Davis	Tyrone Davis.	 [Tyrone Davis]'s term is chicago soul. [Tyrone Davis]'s song is Ooh La La. [Tyrone Davis]'s release is Relaxin' With Tyrone.
111	Hot Tuna	Hot Tuna.	 [Hot Tuna]'s song is Death Don't Have No Mercy. [Hot Tuna]'s release is Hot Tuna: Live. [Hot Tuna]'s term is blues-rock.
112	Richard Burton	Richard Burton.	 [Richard Burton]'s song is I See The Boys Of Summer. [Richard Burton]'s term is jazz fusion. [Richard Burton]'s release is Fifteen Poems By Dylan Thomas.
113	Rory Block	Rory Block.	 [Rory Block]'s song is Three Is a Crowd. [Rory Block]'s term is delta blues. [Rory Block]'s release is The Early Tapes 1975-1976.
114	Boyz II Men	Boyz II Men.	 [Boyz II Men]'s term is new jack swing. [Boyz II Men]'s release is Legacy. [Boyz II Men]'s song is In My Life.
115	Howard Armstrong	Howard Armstrong.	 [Howard Armstrong]'s release is Louie Bluie Film Soundtrack. [Howard Armstrong]'s term is piedmont blues. [Howard Armstrong]'s song is My Four Reasons.
116	Donny Hathaway	Donny Hathaway.	 [Donny Hathaway]'s term is jazz funk. [Donny Hathaway]'s song is Little Girl (LP Version). [Donny Hathaway]'s release is A Donny Hathaway Collection.
117	Miguel Gallardo	Miguel Gallardo.	 [Miguel Gallardo]'s term is male vocalist. [Miguel Gallardo]'s song is Eternamente Amame. [Miguel Gallardo]'s release is Canciones De Amor De Miguel Gallardo.
118	Les Ogres De Barback	Les Ogres De Barback.	 [Les Ogres De Barback]'s song is De rien. [Les Ogres De Barback]'s release is Rue du temps. [Les Ogres De Barback]'s term is chanson.
119	DJ X-Change featuring DJ Joey A	DJ X-Change featuring DJ Joey A.	 [DJ X-Change featuring DJ Joey A]'s release is What up Detroit. [DJ X-Change featuring DJ Joey A]'s song is Come Over. [DJ X-Change featuring DJ Joey A]'s term is ghetto tech.
120	Morel	Morel.	 [Morel]'s term is dance pop. [Morel]'s release is Peterbilt Angel. [Morel]'s song is Blue Taxi.
121	Tony Joe White	Tony Joe White.	 [Tony Joe White]'s song is I've Got A Thing About You Baby (Album Version), Menutha. [Tony Joe White]'s release is Tony Joe.
122	Wolfmother	Wolfmother.	 [Wolfmother]'s song is White Feather, Cosmonaut. [Wolfmother]'s release is White Feather.
123	The Roches	The Roches.	 [The Roches]'s term is singer-songwriter. [The Roches]'s release is The Roches. [The Roches]'s song is Mr. Sellack (Album Version).
124	Bob Margolin	Bob Margolin.	 [Bob Margolin]'s song is Baby  Baby  Baby, Lost Again. [Bob Margolin]'s release is In North Carolina.
125	Thomas Battenstein	Thomas Battenstein.	 [Thomas Battenstein]'s term is guitar. [Thomas Battenstein]'s song is Nun singet und seid froh. [Thomas Battenstein]'s release is ILE D'YEU.
126	Jupiter Rising	Jupiter Rising.	 [Jupiter Rising]'s release is Electropop. [Jupiter Rising]'s term is pop rap. [Jupiter Rising]'s song is They Say (Album).
127	Dharma Bums	Dharma Bums.	 [Dharma Bums]'s term is progressive house. [Dharma Bums]'s release is DUMB: 4-track cassette recordings (1987). [Dharma Bums]'s song is Simon's Folly.
128	Saafir	Saafir.	 [Saafir]'s release is The Hit List. [Saafir]'s song is Crawl Before You Ball (Album Version). [Saafir]'s term is hip hop.
129	The Verve Pipe	The Verve Pipe.	 [The Verve Pipe]'s release is Underneath. [The Verve Pipe]'s term is post-grunge. [The Verve Pipe]'s song is Medicate Myself.
130	Bob Neuwirth	Bob Neuwirth.	 [Bob Neuwirth]'s song is Turn It Around. [Bob Neuwirth]'s term is singer-songwriter. [Bob Neuwirth]'s release is Back To The Front.
131	Marvin Sapp	Marvin Sapp.	 [Marvin Sapp]'s term is gospel. [Marvin Sapp]'s song is In His Presence (LP Version). [Marvin Sapp]'s release is Marvin Sapp.
132	James Hunter	James Hunter.	 [James Hunter]'s song is Class Act. [James Hunter]'s term is blue-eyed soul. [James Hunter]'s release is A Tribute to The American Horse.
133	Nelson Ned	Nelson Ned.	 [Nelson Ned]'s release is Para Sempre. [Nelson Ned]'s song is Mi Sangre Latino. [Nelson Ned]'s term is latin jazz.
134	Mish Mash	Mish Mash.	 [Mish Mash]'s term is vocal house. [Mish Mash]'s song is Pish Tash. [Mish Mash]'s release is Ministry of Sound Presents 100.
135	Cama	Cama.	 [Cama]'s release is In this Life. [Cama]'s term is los angeles. [Cama]'s song is Fade Away.
136	Maxi Priest	Maxi Priest.	 [Maxi Priest]'s term is lovers rock. [Maxi Priest]'s song is Groovin' In The Midnight. [Maxi Priest]'s release is You're Safe.
137	Porcupine Tree	Porcupine Tree.	 [Porcupine Tree]'s song is Strip The Soul (album version). [Porcupine Tree]'s release is In Absentia. [Porcupine Tree]'s term is experimental rock.
138	Ragheb Alama	Ragheb Alama.	 [Ragheb Alama]'s term is arabesque. [Ragheb Alama]'s release is Ya Hayati. [Ragheb Alama]'s song is Al'amadalah Assa'bah (2004 Digital Remaster).
139	Foo Fighters	Foo Fighters.	 [Foo Fighters]'s song is Razor. [Foo Fighters]'s release is Foo Fighters. [Foo Fighters]'s term is grunge.
140	Shakira Featuring Wyclef Jean	Shakira Featuring Wyclef Jean.	 [Shakira Featuring Wyclef Jean]'s release is Essential R&B Hit Selection. [Shakira Featuring Wyclef Jean]'s song is Hips Don't Lie (featuring Wyclef Jean). [Shakira Featuring Wyclef Jean]'s term is dance pop.
141	The Avengers	The Avengers.	 [The Avengers]'s release is 20 Suosikkia / Rautalankaklassikot / Muurari. [The Avengers]'s song is Juoksuhauta-twist (El\xc3\xa4m\xc3\xa4 juoksuhaudoissa). [The Avengers]'s term is rock.
142	Robben Ford	Robben Ford.	 [Robben Ford]'s release is Blue Moon. [Robben Ford]'s song is The Champ. [Robben Ford]'s term is blues-rock.
143	Brazilian Tropical Orchestra	Brazilian Tropical Orchestra.	 [Brazilian Tropical Orchestra]'s release is Plays Boleros. [Brazilian Tropical Orchestra]'s song is Baby. [Brazilian Tropical Orchestra]'s term is bossa nova.
144	Gil Semedo	Gil Semedo.	 [Gil Semedo]'s release is Nha Vit\xc3\xb3ria. [Gil Semedo]'s song is Festa. [Gil Semedo]'s term is zouk.
145	Xmilk	Xmilk.	 [Xmilk]'s term is thrash core. [Xmilk]'s song is Side By Side. [Xmilk]'s release is Scarcity.
146	Dolce; Oscar G.	Dolce; Oscar G..	 [Dolce; Oscar G.]'s term is folk-pop. [Dolce; Oscar G.]'s song is Fire (Oscar G Space Vocal Mix). [Dolce; Oscar G.]'s release is Fire.
147	Britt Nicole	Britt Nicole.	 [Britt Nicole]'s release is Set The World On Fire (Premiere Performance Plus Track), Say It. [Britt Nicole]'s term is ccm.
148	Toni Braxton Featuring Shaggy	Toni Braxton Featuring Shaggy.	 [Toni Braxton Featuring Shaggy]'s release is Snowflakes. [Toni Braxton Featuring Shaggy]'s song is Christmas In Jamaica. [Toni Braxton Featuring Shaggy]'s term is dance pop.
149	Sven Tasnadi	Sven Tasnadi.	 [Sven Tasnadi]'s song is Charisma. [Sven Tasnadi]'s release is El Fuego De Dentro. [Sven Tasnadi]'s term is tech house.
150	Eddie	Eddie.	 [Eddie]'s release is Brazil Classics 7: What's Happening in Pernambuco  New Sounds of the Brazilian Northeast, Metropolitano. [Eddie]'s song is Pode Me Chamar.
151	Enthroned	Enthroned.	 [Enthroned]'s term is black metal. [Enthroned]'s song is The Vitalized Shell. [Enthroned]'s release is Pentagrammaton.
152	Milan Band	Milan Band.	 [Milan Band]'s song is Ciao Milan. [Milan Band]'s term is serialism. [Milan Band]'s release is Milan Milan.
153	Johnny Osbourne	Johnny Osbourne.	 [Johnny Osbourne]'s release is 100% Dynamite, Auralux Reggae Showcase. [Johnny Osbourne]'s song is We Need Love.
154	Dolly Parton	Dolly Parton.	 [Dolly Parton]'s release is The Dolly Parton Classics, DOLLY - HEARTSONGS. [Dolly Parton]'s song is Light Of A Clear Blue Morning.
155	Rance Allen Group	Rance Allen Group.	 [Rance Allen Group]'s release is Up Above My Head, Stax Profiles - Rance Allen. [Rance Allen Group]'s song is The Painter.
156	Pearl Jam	Pearl Jam.	 [Pearl Jam]'s term is grunge. [Pearl Jam]'s release is Pearl Jam. [Pearl Jam]'s song is Wishlist.
157	Natalie Cole	Natalie Cole.	 [Natalie Cole]'s term is vocal jazz. [Natalie Cole]'s song is Don't Get Around Much Anymore. [Natalie Cole]'s release is Unforgettable: With Love.
158	Mastodon	Mastodon.	 [Mastodon]'s term is alternative metal. [Mastodon]'s song is Deep Sea Creature. [Mastodon]'s release is Call of the Mastodon.
159	Kiril Valeri	Kiril Valeri.	 [Kiril Valeri]'s song is Bulgarian Dream. [Kiril Valeri]'s term is flamenco. [Kiril Valeri]'s release is Behind The Blue.
160	Word	Word.	 [Word]'s term is blues-rock. [Word]'s song is Amalgama. [Word]'s release is Matumago X Press.
