node_id	id	name	score	valid	description
44	A00045	R.L. Burnside	0.701180874	1	R.L. Burnside.
45	A00046	Stevie Ray Vaughan	0.73379894	1	Stevie Ray Vaughan.
46	A00047	John Hammond	0.590692918	1	John Hammond.
47	A00048	Casiotone For The Painfully Alone	0.665322162	1	Casiotone For The Painfully Alone.
48	A00049	Ec8or	0.50407567	1	Ec8or.
49	A00050	The New York Dolls	0.717670525	1	The New York Dolls.
50	A00051	Eliane Elias	0.669726188	1	Eliane Elias.
51	A00052	Lost Boyz	0.569741152	1	Lost Boyz.
52	A00053	The Germs	0.640048357	1	The Germs.
53	A00054	Yamandu Costa	0.397772876	1	Yamandu Costa.
54	A00055	Chris Rea	0.643182773	1	Chris Rea.
55	A00056	Perrey And Kingsley	0.411421048	1	Perrey And Kingsley.
56	A00057	Eurythmics	0.75100762	1	Eurythmics.
57	A00058	Francis Dunnery	0.54858513	1	Francis Dunnery.
58	A00059	John Cale	0.749317801	1	John Cale.
59	A00060	Suzanne Ciani	0.631946666	1	Suzanne Ciani.
60	A00061	Vickie Winans	0.653937821	1	Vickie Winans.
61	A00062	The Berzerker	0.668370612	1	The Berzerker.
62	A00063	Kings Of Leon	0.845768866	1	Kings Of Leon.
63	A00064	Edith Lefel	0.407455644	1	Edith Lefel.
64	A00065	Taras	0.460171324	1	Taras.
65	A00066	NOFX	0.778816717	1	NOFX.
66	A00067	Murskahumppa	0.435889847	1	Murskahumppa.
67	A00068	Soda Stereo	0.711165787	1	Soda Stereo.
68	A00069	Bruce Rowland	0.443162398	1	Bruce Rowland.
69	A00070	Xcultures	0.400433514	1	Xcultures.
70	A00071	White Heart	0.477364753	1	White Heart.
71	A00072	Heavy D / McGruff	0.617870116	1	Heavy D / McGruff.
72	A00073	Van Halen	0.744641246	1	Van Halen.
73	A00074	Black Eyed Peas	0.845601887	1	Black Eyed Peas.
74	A00075	Nine Inch Nails	0.905776889	1	Nine Inch Nails.
75	A00076	Nick Cave & The Bad Seeds	0.694021648	1	Nick Cave & The Bad Seeds.
76	A00077	Nadine Renee	0.408389022	1	Nadine Renee.
77	A00078	Lesley Gore	0.606925359	1	Lesley Gore.
78	A00079	Smartbomb	0.562463784	1	Smartbomb.
79	A00080	Suburbs	0.481004583	1	Suburbs.
80	A00081	Emperor	0.742963152	1	Emperor.
81	A00082	Julien Clerc	0.58547954	1	Julien Clerc.
82	A00083	Glen Campbell	0.67159627	1	Glen Campbell.
83	A00084	T.G. Sheppard	0.449323615	1	T.G. Sheppard.
84	A00085	Slim Whitman	0.51644378	1	Slim Whitman.
85	A00086	Savage Garden	0.728209707	1	Savage Garden.
86	A00087	Queens Of The Stone Age	0.798645179	1	Queens Of The Stone Age.
87	A00088	Hank Penny & The Lincoln Penny Orchestra	0.445854631	1	Hank Penny & The Lincoln Penny Orchestra.
88	A00089	Inspiral Carpets	0.605109702	1	Inspiral Carpets.
89	A00090	Borialis	0.454043995	1	Borialis.
90	A00091	The Dirty Skirts	0.543516131	1	The Dirty Skirts.
91	A00092	Flor Silvestre	0.42054585	1	Flor Silvestre.
92	A00093	BA(c)zu	0.373850623	1	BA(c)zu.
93	A00094	Redman	0.743129776	1	Redman.
94	A00095	Solistiyhtye Suomi	0.13818761	1	Solistiyhtye Suomi.
95	A00096	Eddie Cantor	0.416141023	1	Eddie Cantor.
96	A00097	Schizoid	0.495559652	1	Schizoid.
97	A00098	Kai Winding	0.430538907	1	Kai Winding.
98	A00099	Sonny Simmons	0.428375417	1	Sonny Simmons.
99	A00100	Mira	0.545110951	1	Mira.
100	A00101	Citizen Kaned	0.483339422	1	Citizen Kaned.
101	A00102	The Brooklyn Tabernacle Choir	0.559278494	1	The Brooklyn Tabernacle Choir.
102	A00103	Ellen McIlwaine	0.438887475	1	Ellen McIlwaine.
103	A00104	Vince Guaraldi / Bola Sete	0.57810363	1	Vince Guaraldi / Bola Sete.
104	A00105	Maurice Chevalier	0.502453177	1	Maurice Chevalier.
105	A00106	Carl Cox Vs Yousef	0.541975108	1	Carl Cox Vs Yousef.
106	A00107	Organized Konfusion	0.683719468	1	Organized Konfusion.
107	A00108	Martina McBride	0.614870934	1	Martina McBride.
108	A00109	Horace Andy	0.626436382	1	Horace Andy.
109	A00110	Nazz	0.494681417	1	Nazz.
110	A00111	Tyrone Davis	0.543866303	1	Tyrone Davis.
111	A00112	Hot Tuna	0.567278871	1	Hot Tuna.
112	A00113	Richard Burton	0.432386477	1	Richard Burton.
113	A00114	Rory Block	0.513829587	1	Rory Block.
114	A00115	Boyz II Men	0.790922848	1	Boyz II Men.
115	A00116	Howard Armstrong	0.454668191	1	Howard Armstrong.
116	A00117	Donny Hathaway	0.657406765	1	Donny Hathaway.
117	A00118	Miguel Gallardo	0.45871209	1	Miguel Gallardo.
118	A00119	Les Ogres De Barback	0.652367864	1	Les Ogres De Barback.
119	A00120	DJ X-Change featuring DJ Joey A	0.342440144	1	DJ X-Change featuring DJ Joey A.
120	A00121	Morel	0.49825931	1	Morel.
121	A00122	Tony Joe White	0.624723768	1	Tony Joe White.
122	A00123	Wolfmother	0.79225559	1	Wolfmother.
123	A00124	The Roches	0.573605491	1	The Roches.
124	A00125	Bob Margolin	0.555985053	1	Bob Margolin.
125	A00126	Thomas Battenstein	0.42562724	1	Thomas Battenstein.
126	A00127	Jupiter Rising	0.662649695	1	Jupiter Rising.
127	A00128	Dharma Bums	0.491921881	1	Dharma Bums.
128	A00129	Saafir	0.594779904	1	Saafir.
129	A00130	The Verve Pipe	0.70334944	1	The Verve Pipe.
130	A00131	Bob Neuwirth	0.434272038	1	Bob Neuwirth.
131	A00132	Marvin Sapp	0.733714697	1	Marvin Sapp.
132	A00133	James Hunter	0.625443262	1	James Hunter.
133	A00134	Nelson Ned	0.498663649	1	Nelson Ned.
134	A00135	Mish Mash	0.505644262	1	Mish Mash.
135	A00136	Cama	0.406187449	1	Cama.
136	A00137	Maxi Priest	0.661001337	1	Maxi Priest.
137	A00138	Porcupine Tree	0.830252262	1	Porcupine Tree.
138	A00139	Ragheb Alama	0.554226467	1	Ragheb Alama.
139	A00140	Foo Fighters	0.839275393	1	Foo Fighters.
140	A00141	Shakira Featuring Wyclef Jean	0.833178561	1	Shakira Featuring Wyclef Jean.
141	A00142	The Avengers	0.574973901	1	The Avengers.
142	A00143	Robben Ford	0.604820432	1	Robben Ford.
143	A00144	Brazilian Tropical Orchestra	0.378013152	1	Brazilian Tropical Orchestra.
144	A00145	Gil Semedo	0.441593442	1	Gil Semedo.
145	A00147	Xmilk	0.4621406	1	Xmilk.
146	A00148	Dolce; Oscar G.	0.471577282	1	Dolce; Oscar G..
147	A00149	Britt Nicole	0.669500125	1	Britt Nicole.
148	A00151	Toni Braxton Featuring Shaggy	0.737972528	1	Toni Braxton Featuring Shaggy.
149	A00153	Sven Tasnadi	0.480047819	1	Sven Tasnadi.
150	A00154	Eddie	0.622684167	1	Eddie.
151	A00155	Enthroned	0.593416049	1	Enthroned.
152	A00157	Milan Band	0.20107756	1	Milan Band.
153	A00158	Johnny Osbourne	0.618765786	1	Johnny Osbourne.
154	A00159	Dolly Parton	0.707335681	1	Dolly Parton.
155	A00160	Rance Allen Group	0.488008882	1	Rance Allen Group.
156	A00161	Pearl Jam	0.81444811	1	Pearl Jam.
157	A00162	Natalie Cole	0.69044755	1	Natalie Cole.
158	A00163	Mastodon	0.780461749	1	Mastodon.
159	A00164	Kiril Valeri	0.605874049	1	Kiril Valeri.
160	A00165	Word	0.638880206	1	Word.
161	A00166	DJ Quik	0.712098902	1	DJ Quik.
162	A00167	Hank Locklin	0.635757022	1	Hank Locklin.
163	A00168	BT	0.786427083	1	BT.
164	A00169	2-4 Grooves feat. Reki D.	0.622829997	1	2-4 Grooves feat. Reki D..
165	A00170	The Jordanaires	0.382308283	1	The Jordanaires.
166	A00171	Descendents	0.727230316	1	Descendents.
167	A00172	L.A. Guns	0.665728336	1	L.A. Guns.
168	A00173	Bare Jr.	0.53938059	1	Bare Jr..
169	A00174	Shelley Fabares	0.075124762	1	Shelley Fabares.
170	A00175	Norrie Paramor	0.312415123	1	Norrie Paramor.
171	A00176	Gary Hobbs	0.524700041	1	Gary Hobbs.
172	A00177	Diesel Boy	0.567814264	1	Diesel Boy.
173	A00178	Angelo Badalamenti	0.698770478	1	Angelo Badalamenti.
174	A00179	Cradle Of Filth	0.784820389	1	Cradle Of Filth.
175	A00180	Jim Chappell	0.520204911	1	Jim Chappell.
176	A00181	Ladybug	0.479695608	1	Ladybug.
177	A00182	Bandido	0.463087254	1	Bandido.
178	A00183	Brixx	0.515611096	1	Brixx.
179	A00185	Susana Seivane	0.352212817	1	Susana Seivane.
180	A00186	Leland Martin	0.385143351	1	Leland Martin.
181	A00187	Test Icicles	0.682045692	1	Test Icicles.
182	A00188	Heaven 17	0.630928608	1	Heaven 17.
183	A00189	React	0.485107918	1	React.
184	A00191	Mance Lipscomb	0.450852685	1	Mance Lipscomb.
185	A00192	Scott Wesley Brown	0.497307512	1	Scott Wesley Brown.
186	A00193	FlA!vio JosA(c)	0.424278927	1	FlA!vio JosA(c).
187	A00194	Moss	0.602555589	1	Moss.
188	A00195	Pery Ribeiro	0.385417447	1	Pery Ribeiro.
189	A00196	Soular	0.539181188	1	Soular.
190	A00197	Dimmu Borgir	0.826075467	1	Dimmu Borgir.
191	A00198	Public Image Ltd	0.684994897	1	Public Image Ltd.
192	A00199	Gary Moore	0.761362238	1	Gary Moore.
193	A00200	Pascal Sangla	0.464481282	1	Pascal Sangla.
194	A00201	The B-52's	0.681598553	1	The B-52's.
195	A00202	Dakis	0.336970428	1	Dakis.
196	A00203	Sex Pistols	0.73118423	1	Sex Pistols.
197	A00204	Chris Brown	0.892688611	1	Chris Brown.
198	A00205	Deekline & Wizard	0.332330882	1	Deekline & Wizard.
199	A00206	Daniela DessA!	0.349012002	1	Daniela DessA!.
200	A00207	Hem	0.632242851	1	Hem.
201	A00208	Lily Allen	0.916058239	1	Lily Allen.
202	A00209	Pentangle	0.547078569	1	Pentangle.
203	A00210	DJ Dips	0.392570166	1	DJ Dips.
204	A00211	Ana Bekuta	0.326699728	1	Ana Bekuta.
205	A00212	Jason Miles	0.458055179	1	Jason Miles.
206	A00213	Busdriver	0.618002715	1	Busdriver.
207	A00214	Byther Smith	0.465194733	1	Byther Smith.
208	A00215	Bebo & Cigala	0.483703807	1	Bebo & Cigala.
209	A00216	Bizarre Inc	0.633817882	1	Bizarre Inc.
210	A00217	Bongzilla	0.574400789	1	Bongzilla.
211	A00218	The Gone Jackals	0.44104996	1	The Gone Jackals.
212	A00219	The Willis Brothers	0.334628878	1	The Willis Brothers.
213	A00220	Laurindo Almeida / Carlos Barbosa-Lima / Charlie Byrd	0.560411686	1	Laurindo Almeida / Carlos Barbosa-Lima / Charlie Byrd.
214	A00221	S.U.P	0.406166635	1	S.U.P.
215	A00222	Boogie Pimps	0.62799739	1	Boogie Pimps.
216	A00223	Brian Keane	0.453171007	1	Brian Keane.
217	A00224	Aberdeen	0.583773265	1	Aberdeen.
218	A00225	The Killers	0.918451789	1	The Killers.
219	A00226	Gloriana	0.73699197	1	Gloriana.
220	A00227	Butterfly Temple	0.511000944	1	Butterfly Temple.
221	A00228	Grant Geissman	0.422971308	1	Grant Geissman.
222	A00229	20/20	0.50039601	1	20/20.
223	A00230	JosA(c) Augusto	0.429544942	1	JosA(c) Augusto.
224	A00231	Orbital	0.693009204	1	Orbital.
225	A00232	Bone Thugs-N-Harmony / Akon	0.81592342	1	Bone Thugs-N-Harmony / Akon.
226	A00233	Moonsorrow	0.646618529	1	Moonsorrow.
227	A00234	N.W.A.	0.747708669	1	N.W.A..
228	A00235	Rage Against The Machine	0.783458021	1	Rage Against The Machine.
229	A00236	Jazz Gillum	0.362800142	1	Jazz Gillum.
230	A00237	Rise Against	0.847081688	1	Rise Against.
231	A00238	Ultraviolence	0.499939221	1	Ultraviolence.
232	A00239	Korn	0.829135422	1	Korn.
233	A00240	Sir Neville Marriner	0.430024987	1	Sir Neville Marriner.
234	A00241	Agnes	0.737540403	1	Agnes.
235	A00242	James Horner	0.679519208	1	James Horner.
236	A00243	Tantric	0.720808698	1	Tantric.
237	A00246	The Irish Tenors	0.599019959	1	The Irish Tenors.
238	A00247	U2	0.843526543	1	U2.
239	A00248	Little Joe	0.454709911	1	Little Joe.
240	A00250	Blind Blake & The Royal Victoria Hotel Calypsos	0.521712214	1	Blind Blake & The Royal Victoria Hotel Calypsos.
241	A00251	Percy Faith	0.566796475	1	Percy Faith.
242	A00252	Extreme	0.717991696	1	Extreme.
243	A00253	Alexandre Desplat	0.609816403	1	Alexandre Desplat.
244	A00254	Prozak	0.621213511	1	Prozak.
245	A00255	Jerry Butler	0.589259678	1	Jerry Butler.
246	A00256	Yvette Horner	0.411875463	1	Yvette Horner.
247	A00257	Delta 9	0.586000058	1	Delta 9.
248	A00258	Placebo	0.804523521	1	Placebo.
249	A00259	Tam Tam Go!	0.515044056	1	Tam Tam Go!.
250	A00260	Gertrudis	0.444926413	1	Gertrudis.
251	A00261	Warrior King	0.588370653	1	Warrior King.
252	A00263	LORE	0.510794577	1	LORE.
253	A00264	Soul Asylum	0.690080124	1	Soul Asylum.
254	A00265	Carl Doy with NZSO	0.342558954	1	Carl Doy with NZSO.
255	A00268	The Nightraver & The Magican	0.341937434	1	The Nightraver & The Magican.
256	A00269	Rah Digga (Featuring Outsidaz)	0.583231605	1	Rah Digga (Featuring Outsidaz).
257	A00270	RUN-DMC	0.686988955	1	RUN-DMC.
258	A00271	Bert Kaempfert And His Orchestra	0.386291901	1	Bert Kaempfert And His Orchestra.
259	A00273	Lady May	0.418610662	1	Lady May.
260	A00274	Nightwish	0.808784962	1	Nightwish.
261	A00276	Frank Chacksfield	0.446256667	1	Frank Chacksfield.
262	A00277	Cesar Camargo Mariano/Helio Delmiro	0.332148785	1	Cesar Camargo Mariano/Helio Delmiro.
263	A00278	Buzzhorn	0.473626728	1	Buzzhorn.
264	A00279	Silverstein	0.80113645	1	Silverstein.
265	A00280	!!!	0.609538992	1	!!!.
266	A00281	The Secret Life of Teenage Girls	0.062570763	1	The Secret Life of Teenage Girls.
267	A00282	The Notorious B.I.G.	0.668509447	1	The Notorious B.I.G..
268	A00283	Led Zeppelin	0.787098356	1	Led Zeppelin.
269	A00284	Sandi Thom	0.655359115	1	Sandi Thom.
270	A00285	Carl Belew	0.305523628	1	Carl Belew.
271	A00286	The Field Mice	0.60542429	1	The Field Mice.
272	A00287	Billy Higgins_ Bob Berg_ Cedar Walton_ Tony Dumas	0.426683814	1	Billy Higgins_ Bob Berg_ Cedar Walton_ Tony Dumas.
273	A00288	Catherine Howe	0.421792253	1	Catherine Howe.
274	A00289	Malkit Singh	0.483243067	1	Malkit Singh.
275	A00290	Rodney O & Joe Cooley	0.415784608	1	Rodney O & Joe Cooley.
276	A00291	Dean Martin	0.708439814	1	Dean Martin.
277	A00292	Strata	0.612837504	1	Strata.
278	A00293	James Darren	0.489280179	1	James Darren.
279	A00294	Till West & DJ Delicious	0.564512291	1	Till West & DJ Delicious.
280	A00295	Carlos NuA+-ez	0.535702528	1	Carlos NuA+-ez.
281	A00296	Igor Stravinsky	0.633258331	1	Igor Stravinsky.
282	A00297	Gene Clark	0.685125411	1	Gene Clark.
283	A00298	Maysa	0.616436885	1	Maysa.
284	A00299	The Shirelles	0.66229871	1	The Shirelles.
285	A00300	The American Boychoir	0.409827635	1	The American Boychoir.
286	A00301	JDS	0.487220327	1	JDS.
287	A00302	Panic At The Disco	0.842368944	1	Panic At The Disco.
288	A00303	Jan Howard	0.44240829	1	Jan Howard.
289	A00304	Abraham Laboriel	0.362358559	1	Abraham Laboriel.
290	A00305	MichA"le Arnaud	0.368134445	1	MichA"le Arnaud.
291	A00306	Sticky Fingaz	0.542512528	1	Sticky Fingaz.
292	A00307	Dame Joan Sutherland / New Philharmonia Orchestra / Richard Bonynge	0.384563593	1	Dame Joan Sutherland / New Philharmonia Orchestra / Richard Bonynge.
293	A00308	The Jeff Healey Band	0.716854352	1	The Jeff Healey Band.
294	A00309	Angela Dimitriou	0.264713987	1	Angela Dimitriou.
295	A00310	Danny Wilson	0.559991415	1	Danny Wilson.
296	A00311	Lionel Rogg	0.320855383	1	Lionel Rogg.
297	A00312	Java	0.625157654	1	Java.
298	A00313	SWAMI featuring Asuivre	0.679654239	1	SWAMI featuring Asuivre.
299	A00314	The Black Velvet Band	0.353911957	1	The Black Velvet Band.
300	A00315	Lisa Lynne	0.6051397	1	Lisa Lynne.
301	A00316	Pe'z	0.530791489	1	Pe'z.
302	A00317	Shawn Colvin	0.68550363	1	Shawn Colvin.
303	A00318	Stephy Tang	0.37248425	1	Stephy Tang.
304	A00320	Backstreet Boys	0.851417629	1	Backstreet Boys.
305	A00321	Tiny Tim	0.593496044	1	Tiny Tim.
306	A00322	Kenny G featuring Daryl Hall	0.751629597	1	Kenny G featuring Daryl Hall.
307	A00323	Christos Dantis	0.480752276	1	Christos Dantis.
308	A00324	David Martin	0.637533386	1	David Martin.
309	A00325	John Davis	0.545435239	1	John Davis.
310	A00326	Trafik	0.596845852	1	Trafik.
311	A00327	Nick Ingman;Gavyn Wright	0.4074304	1	Nick Ingman;Gavyn Wright.
312	A00328	Eddie Calvert	0.421187326	1	Eddie Calvert.
313	A00329	Glad	0.524265131	1	Glad.
314	A00330	Steel Rain	0.018917567	1	Steel Rain.
315	A00331	Los Manolos	0.47013483	1	Los Manolos.
316	A00333	Bombay Rockers	0.531757816	1	Bombay Rockers.
317	A00334	Jinx	0.556566973	1	Jinx.
318	A00335	Chase & Status	0.654594982	1	Chase & Status.
319	A00336	Tom Petty	0.779838092	1	Tom Petty.
320	A00337	Montserrat CaballA(c);Placido Domingo;Vicente Sardinero;Judith Blegen;Sherrill Milnes;Georg Solti	0.522197175	1	Montserrat CaballA(c);Placido Domingo;Vicente Sardinero;Judith Blegen;Sherrill Milnes;Georg Solti.
321	A00338	Pucho & His Latin Soul Brothers	0.44259318	1	Pucho & His Latin Soul Brothers.
322	A00339	Soul Mekanik	0.490009428	1	Soul Mekanik.
323	A00340	Mitch Ryder	0.476747681	1	Mitch Ryder.
324	A00341	Blingtones	0.021492905	1	Blingtones.
325	A00342	Luna Orbit Project	0.420966667	1	Luna Orbit Project.
326	A00343	Danilo Perez	0.331874147	1	Danilo Perez.
327	A00344	Line Renaud	0.470212296	1	Line Renaud.
328	A00345	King Curtis	0.575674219	1	King Curtis.
329	A00346	Sophie B. Hawkins	0.713274972	1	Sophie B. Hawkins.
330	A00347	Lupe Fiasco	0.902062927	1	Lupe Fiasco.
331	A00348	Wilks	0.351182454	1	Wilks.
332	A00349	Marc Shaiman	0.510010871	1	Marc Shaiman.
333	A00350	40 Grit	0.451977717	1	40 Grit.
334	A00351	Gwen Stefani	0.837872047	1	Gwen Stefani.
335	A00352	Steve Morse	0.589903022	1	Steve Morse.
336	A00353	Bitter End	0.602868067	1	Bitter End.
337	A00354	Ethel Merman	0.493593024	1	Ethel Merman.
338	A00355	Leon Russell & New Grass Revival	0.634227165	1	Leon Russell & New Grass Revival.
339	A00356	Story Of The Year	0.806762596	1	Story Of The Year.
340	A00357	Natural Elements	0.44802055	1	Natural Elements.
341	A00359	Neil Sedaka	0.720842183	1	Neil Sedaka.
342	A00360	Maurice Larcange	0.360241801	1	Maurice Larcange.
343	A00361	A Static Lullaby	0.758678715	1	A Static Lullaby.
344	A00362	John Wesley_ John Wesley	0.560557984	1	John Wesley_ John Wesley.
345	A00363	Coph Nia	0.56246685	1	Coph Nia.
346	A00364	Tabu feat. Mitzib	0.578881704	1	Tabu feat. Mitzib.
347	A00365	Nights Like These	0.628886848	1	Nights Like These.
348	A00366	Oasis	0.834564098	1	Oasis.
349	A00367	John Davis & Emma Doyle	0.0	1	John Davis & Emma Doyle.
350	A00368	Stew	0.541077953	1	Stew.
351	A00369	Jauida	0.53915621	1	Jauida.
352	A00370	Eddy Arnold	0.56412895	1	Eddy Arnold.
353	A00371	All Time Low	0.842431482	1	All Time Low.
354	A00372	Brian Dullaghan	0.29143326	1	Brian Dullaghan.
355	A00373	Richard Galliano	0.571422802	1	Richard Galliano.
356	A00374	Regina Belle	0.566024302	1	Regina Belle.
357	A00375	Debbie Davies	0.528835698	1	Debbie Davies.
358	A00376	STEVE CAMP	0.527078764	1	STEVE CAMP.
359	A00377	Jay Tee & Baby Bash	0.662945434	1	Jay Tee & Baby Bash.
360	A00378	The Stolen Minks	0.501125001	1	The Stolen Minks.
361	A00379	Daath	0.473963333	1	Daath.
362	A00380	Extasick	0.416985865	1	Extasick.
363	A00381	UFO	0.681130242	1	UFO.
364	A00382	Avril - Remix By Ana Rago	0.897178039	1	Avril - Remix By Ana Rago.
365	A00383	Pat Travers	0.565971267	1	Pat Travers.
366	A00384	SNOWPATROL	0.818319359	1	SNOWPATROL.
367	A00385	Die Fantastischen Vier	0.686452083	1	Die Fantastischen Vier.
368	A00386	Jeanie Lambe & The Danny Moss Quartet	0.03863811	1	Jeanie Lambe & The Danny Moss Quartet.
369	A00388	Yung Joc	0.851218064	1	Yung Joc.
370	A00389	Philippe Sarde	0.455679779	1	Philippe Sarde.
371	A00390	Orquesta AragA3n	0.508731241	1	Orquesta AragA3n.
372	A00392	State of Chaos	0.363734084	1	State of Chaos.
373	A00393	Dropkick Murphys	0.79309437	1	Dropkick Murphys.
374	A00394	Taint	0.560882279	1	Taint.
375	A00395	VHS Or Beta	0.67161064	1	VHS Or Beta.
376	A00396	Leonard Kwan	0.384772191	1	Leonard Kwan.
377	A00397	True Believers	0.494073815	1	True Believers.
378	A00398	Les Hurlements D'leo	0.446326628	1	Les Hurlements D'leo.
379	A00399	Charanga Forever	0.338173032	1	Charanga Forever.
380	A00400	Zuzu Bollin	0.436155425	1	Zuzu Bollin.
381	A00401	Bullet For My Valentine	0.815437803	1	Bullet For My Valentine.
382	A00402	The Hit Factory	0.309621411	1	The Hit Factory.
383	A00403	Terry Snyder	0.457207167	1	Terry Snyder.
384	A00404	Marcus Miller	0.695416519	1	Marcus Miller.
385	A00405	Beatnuts	0.608018106	1	Beatnuts.
386	A00406	Ayo	0.522590185	1	Ayo.
387	A00407	Kid Sister	0.749395045	1	Kid Sister.
388	A00408	Mons Leidvin Takle	0.221726078	1	Mons Leidvin Takle.
389	A00411	Sizzla	0.732571745	1	Sizzla.
390	A00413	Helen Love	0.581884359	1	Helen Love.
391	A00414	David Mingyue Liang	0.185774967	1	David Mingyue Liang.
392	A00415	Pursuit Of Happiness	0.508676201	1	Pursuit Of Happiness.
393	A00416	Bobby Hutcherson	0.570900104	1	Bobby Hutcherson.
394	A00417	Gregory Isaacs	0.709472621	1	Gregory Isaacs.
395	A00418	The Pharcyde	0.756063871	1	The Pharcyde.
396	A00419	Azis	0.499302193	1	Azis.
397	A00420	Amy Winehouse	0.899709853	1	Amy Winehouse.
398	A00421	George Lopez	0.668020249	1	George Lopez.
399	A00422	Les Hou-Lops	0.27790004	1	Les Hou-Lops.
400	A00423	The Cosmosamatics	0.224787871	1	The Cosmosamatics.
401	A00424	Jackie Edwards	0.50373879	1	Jackie Edwards.
402	A00425	Michael Card	0.515279199	1	Michael Card.
403	A00427	Ensiferum	0.710203377	1	Ensiferum.
404	A00428	Leila Chicot	0.516618213	1	Leila Chicot.
405	A00429	The Pharcyde / Big Boy / Schmooche Cat / Randy Mack	0.756063871	1	The Pharcyde / Big Boy / Schmooche Cat / Randy Mack.
406	A00430	Erkki Junkkarinen	0.404499596	1	Erkki Junkkarinen.
407	A00432	Scar Symmetry	0.718381342	1	Scar Symmetry.
408	A00433	Oztara	0.450877778	1	Oztara.
409	A00434	Sonia Dersion	0.375962133	1	Sonia Dersion.
410	A00435	Christina Aguilera	0.831240277	1	Christina Aguilera.
411	A00436	Headhunter	0.60773432	1	Headhunter.
412	A00437	Eighteen Visions	0.752365974	1	Eighteen Visions.
413	A00438	Baby Huey & The Baby Sitters	0.561487776	1	Baby Huey & The Baby Sitters.
414	A00439	Elmore James	0.619366856	1	Elmore James.
415	A00440	Rising Lion	0.494587077	1	Rising Lion.
416	A00441	George Harrison	0.739047424	1	George Harrison.
417	A00442	Weezer	0.830884642	1	Weezer.
418	A00444	Boots Randolph	0.544835431	1	Boots Randolph.
419	A00445	Jackson United	0.574984394	1	Jackson United.
420	A00447	Bobbie Gentry	0.582460567	1	Bobbie Gentry.
421	A00448	Creedence Clearwater Revived	0.36766771	1	Creedence Clearwater Revived.
422	A00449	The Johnny Otis Orchestra	0.494902079	1	The Johnny Otis Orchestra.
423	A00450	B.A.D.	0.583989842	1	B.A.D..
424	A00451	Luar Na Lubre	0.633313609	1	Luar Na Lubre.
425	A00452	Circular	0.501246444	1	Circular.
426	A00453	Fruko Y Sus Tesos	0.533724477	1	Fruko Y Sus Tesos.
427	A00454	The Bucketheads	0.563845985	1	The Bucketheads.
428	A00455	The Police	0.790367909	1	The Police.
